BOOKMARK,COMMENT CREATED,FOLLOW,LIKE,VIEW,Virality,timestamp,authorPersonId,textWordCount,eventType_CONTENT REMOVED,eventType_CONTENT SHARED,contentType_HTML,contentType_RICH,contentType_VIDEO,lang_en,lang_es,lang_ja,lang_la,lang_pt
1.0,2.0,3.0,4.0,16.0,227.0,1465870439,-5868110530814399805,306,0,1,1,0,0,0,0,0,0,1
1.0,1.0,1.0,3.0,15.0,162.0,1467662560,-7711052404720939396,1683,0,1,1,0,0,0,0,0,1,0
2.0,1.0,1.0,4.0,21.0,272.0,1485266665,2279740393166882579,447,0,1,1,0,0,0,0,0,0,1
0.0,1.0,0.0,5.0,50.0,80.0,1461531427,-1578287561410088674,195,0,1,1,0,0,1,0,0,0,0
0.0,0.0,0.0,1.0,8.0,12.0,1467653065,-108842214936804958,663,0,1,1,0,0,1,0,0,0,0
2.0,0.0,0.0,1.0,33.0,237.0,1470892968,-709287718034731589,4640,0,1,1,0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,1.0,1.0,1471871411,3217014177234377440,733,0,1,1,0,0,0,0,0,0,1
2.0,0.0,0.0,8.0,23.0,255.0,1468454860,-6067316262393890508,428,0,1,1,0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,1.0,1.0,1459373698,-2626634673110551643,232,0,1,1,0,0,0,0,0,0,1
1.0,0.0,0.0,0.0,4.0,104.0,1459423840,4340306774493623681,437,0,1,1,0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,5.0,5.0,1461067523,-2979881261169775358,804,0,1,1,0,0,1,0,0,0,0
1.0,2.0,0.0,1.0,11.0,135.0,1460392015,-1130272294246983140,1094,0,1,1,0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,37.0,37.0,1465953370,-709287718034731589,672,0,1,1,0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,5.0,5.0,1459210504,5206835909720479405,848,0,1,1,0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,2.0,2.0,1460581739,1623838599684589103,520,0,1,1,0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,2.0,2.0,1460581811,1623838599684589103,520,1,0,1,0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,1.0,1.0,1478709667,-7496361692498935601,1441,0,1,1,0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,8.0,8.0,1466721411,3609194402293569455,697,0,1,1,0,0,0,0,0,0,1
1.0,0.0,0.0,0.0,9.0,109.0,1459391950,3891637997717104548,330,0,1,1,0,0,1,0,0,0,0
0.0,0.0,1.0,4.0,40.0,81.0,1470666100,-1032019229384696495,473,0,1,1,0,0,1,0,0,0,0
1.0,0.0,0.0,4.0,14.0,130.0,1463119616,-1032019229384696495,1316,0,1,1,0,0,1,0,0,0,0
0.0,0.0,0.0,1.0,7.0,11.0,1459268965,-1032019229384696495,784,0,1,1,0,0,1,0,0,0,0
0.0,0.0,0.0,1.0,7.0,11.0,1464399709,3609194402293569455,1556,0,1,1,0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,1.0,1.0,1486733495,3609194402293569455,1380,0,1,1,0,0,1,0,0,0,0
1.0,0.0,0.0,0.0,27.0,127.0,1465934646,6013226412048763966,135,0,1,1,0,0,1,0,0,0,0
1.0,0.0,0.0,0.0,27.0,127.0,1465945560,6013226412048763966,135,1,0,1,0,0,1,0,0,0,0
0.0,0.0,0.0,0.0,2.0,2.0,1459418812,-1443636648652872475,712,0,1,1,0,0,1,0,0,0,0
